order_var,value,url,scrape_date
1,Agent assigned to Naomi Biden shoots amid car break-in,,2023-11-14 03:40:51
2,Trump Jr praises dad's 'genius' in return to stand,,2023-11-14 03:40:51
3,Harry to call as King celebrates his 75th birthday,,2023-11-14 03:40:51
4,Why Peter Nygard's son is supporting his accusers,,2023-11-14 03:40:51
5,"Trump's sister, Maryanne Trump Barry, dead at 86",,2023-11-14 03:40:51
6,David Cameron: I want to support PM at hard time,,2023-11-14 03:40:51
7,US stamp sells for a record-breaking $2m,,2023-11-14 03:40:51
8,Theatre chief offers to quit after Juliet balcony fall,,2023-11-14 03:40:51
9,US Supreme Court releases first-ever ethics rules,,2023-11-14 03:40:51
10,Iceland quake evacuees return to collect belongings,,2023-11-14 03:40:51
