order_var,value,url,scrape_date
1,Family identify 1992 murder victim by flower tattoo,,2023-11-14 12:12:03
2,Why businesses are pulling billions from China,,2023-11-14 12:12:03
3,Iceland volcano evacuees return to collect belongings,,2023-11-14 12:12:03
4,Mexico's first non-binary magistrate found dead,,2023-11-14 12:12:03
5,Harry to call as King celebrates his 75th birthday,,2023-11-14 12:12:03
6,Harry Potter stuntman: Breaking my neck made a man of me,,2023-11-14 12:12:03
7,"Trump's sister, Maryanne Trump Barry, dead at 86",,2023-11-14 12:12:03
8,Cameron returns to cabinet table after seven years,,2023-11-14 12:12:03
9,Ex-radio host missing in Australian croc habitat,,2023-11-14 12:12:03
10,Why Peter Nygard's son is supporting his accusers,,2023-11-14 12:12:03
