order_var,value,url,scrape_date
1,Four things we learned from Trump sons’ testimony,,2023-11-03 23:25:56
2,Bowen: Five new realities after four weeks of Israel-Gaza war,,2023-11-03 23:25:56
3,US acknowledges flying unarmed drones over Gaza,,2023-11-03 23:25:56
4,Mushroom cook tried to kill ex four times - police,,2023-11-03 23:25:56
5,What is Hezbollah and will it go to war with Israel?,,2023-11-03 23:25:56
6,Lisa Marie feared film would show 'predator' Elvis,,2023-11-03 23:25:56
7,Germany's migrant row deepens as illegal arrivals soar,,2023-11-03 23:25:56
8,Everyone got duped by Sam Bankman-Fried's big gamble,,2023-11-03 23:25:56
9,Tycoon hires iconic Palermo opera for birthday bash,,2023-11-03 23:25:56
10,Megan Thee Stallion opens up about mental health,,2023-11-03 23:25:56
